enzyme_id,enzyme_name,enzyme_score,score_std,supporting_metabolites,reactions,pathways,evidence_counts,selection_frequency
ec:4.1.1.29,sulfinoalanine decarboxylase,1.7125678969117816e-05,1.1245651582187314e-05,cysteine sulfinic acid; hypotaurine; taurine,R02466: 3-Sulfino-L-alanine <=> Hypotaurine + CO2; R01682: L-Cysteate <=> Taurine + CO2,path:map02010; path:map04080; path:map00430,3,6
ec:1.13.11.27,4-hydroxyphenylpyruvate dioxygenase,1.7091734421419587e-05,1.1165851132396534e-05,2-hydroxyphenylacetate; 4-hydroxyphenylpyruvate; phenylpyruvate,R02521: 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> Homogentisate + CO2; R01372: Phenylpyruvate + Oxygen <=> 2-Hydroxyphenylacetate + CO2,path:map00360; path:map00470; path:map01063,3,6
ec:3.1.3.75,phosphoethanolamine/phosphocholine phosphatase,1.6995163489661214e-05,1.1077734703862768e-05,phosphoethanolamine; choline; choline phosphate,R06870: Ethanolamine phosphate + H2O <=> Ethanolamine + Orthophosphate; R06871: Choline phosphate + H2O <=> Choline + Orthophosphate,path:map00670; path:map02010; path:map04981,3,6
ec:2.4.2.15,guanosine phosphorylase,1.692965584844643e-05,1.0608277311184118e-05,guanine; guanosine,R02147: Guanosine + Orthophosphate <=> Guanine + alpha-D-Ribose 1-phosphate,path:map01100; path:map00230; path:map01232,2,6
ec:2.7.1.73,inosine kinase,1.6603547263302384e-05,1.0067061625065872e-05,guanosine; inosine,R01228: ATP + Guanosine <=> ADP + GMP; R01131: ATP + Inosine <=> ADP + IMP,path:map01100; path:map00230; path:map01232,2,6
ec:1.1.1.146,11beta-hydroxysteroid dehydrogenase,1.6592212998205838e-05,1.1002174638606393e-05,cortisol; corticosterone; cortisone,R02836: Cortisol + NADP+ <=> Cortisone + NADPH + H+; R03848: Corticosterone + NADP+ <=> 11-Dehydrocorticosterone + NADPH + H+,path:map04923; path:map04960; path:map07225,3,6
ec:3.1.3.4,phosphatidate phosphatase,1.6587734205325144e-05,1.054290879730376e-05,sphinganine; sphingosine 1-phosphate; sphingosine,R06520: Sphinganine 1-phosphate + H2O <=> Sphinganine + Orthophosphate; R06521: Sphingosine 1-phosphate + H2O <=> Sphingosine + Orthophosphate,path:map05152; path:map04666; path:map04217,3,6
ec:2.7.1.91,sphingosine kinase,1.6587734205325144e-05,1.054290879730376e-05,sphinganine; sphingosine 1-phosphate; sphingosine,R01926: Sphingosine + ATP <=> Sphingosine 1-phosphate + ADP; R02976: ATP + Sphinganine <=> ADP + Sphinganine 1-phosphate,path:map05152; path:map04666; path:map04217,3,6
ec:1.1.1.98,(R)-2-hydroxy-fatty-acid dehydrogenase,1.6584316451492336e-05,1.038828126151224e-05,9-hydroxystearate; 2-hydroxystearate; 3-hydroxystearate,R03021: (R)-2-Hydroxystearate + NAD+ <=> 2-Oxooctadecanoic acid + NADH + H+,,3,6
ec:4.1.1.28,aromatic-L-amino-acid decarboxylase,1.6021529722746185e-05,1.0468827019185826e-05,tryptophan; serotonin; tyrosine,R00736: L-Tyrosine <=> Tyramine + CO2; R00685: L-Tryptophan <=> Tryptamine + CO2; R02701: 5-Hydroxy-L-tryptophan <=> Serotonin + CO2,path:map00997; path:map00999; path:map00360,3,6
ec:1.1.1.145,3beta-hydroxy-Delta5-steroid dehydrogenase,1.5999141347597882e-05,1.03898560231281e-05,4-cholesten-3-one; cortisol; cholesterol,"R09920: Cholesterol + NAD+ <=> Cholest-4-en-3-one + NADH + H+; R02840: Cortisol + H+ + NADH <=> 11beta,17alpha,21-Trihydroxypregnenolone + NAD+",path:map04960; path:map04080; path:map00996,3,6
ec:5.3.3.1,steroid Delta-isomerase,1.5999141347597882e-05,1.03898560231281e-05,4-cholesten-3-one; cortisol; cholesterol,"R09920: Cholesterol + NAD+ <=> Cholest-4-en-3-one + NADH + H+; R02840: Cortisol + H+ + NADH <=> 11beta,17alpha,21-Trihydroxypregnenolone + NAD+",path:map04960; path:map04080; path:map00996,3,6
ec:2.6.1.9,histidinol-phosphate transaminase,1.592080416148473e-05,1.011835011913647e-05,tyrosine; 4-hydroxyphenylpyruvate; phenylpyruvate,R00694: L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate; R00734: L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,path:map00997; path:map00999; path:map00360,3,6
ec:2.6.1.5,tyrosine transaminase,1.592080416148473e-05,1.011835011913647e-05,tyrosine; 4-hydroxyphenylpyruvate; phenylpyruvate,R00694: L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate; R00734: L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,path:map00997; path:map00999; path:map00360,3,6
