metabolite,sparse_score
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,0.0010050068708827606
taurodeoxycholic acid 3-sulfate,0.0010049837447069754
sphinganine,0.001004767679665222
S-adenosylhomocysteine (SAH),0.0010046719658231504
ornithine,0.0010046254248188716
1-(1-enyl-oleoyl)-GPE (P-18:1)*,0.0010046181915215995
C-glycosyltryptophan,0.0010046004478698406
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,0.0010045549256398256
4-imidazoleacetate,0.0010042291216303038
ursodeoxycholate,0.0010041925476342382
"bilirubin degradation product, C17H20N2O5 (2)**",0.0010041438502244346
tyramine O-sulfate,0.0010039420480223726
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,0.0010038908376360522
threonine,0.0010038789349567383
isoursodeoxycholate sulfate (1),0.0010038063812495938
N-formylphenylalanine,0.0010037602137958786
1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,0.001003502990273873
glutamine conjugate of C6H10O2 (2)*,0.0010034809507906354
stearidonate (18:4n3),0.0010033903817585953
3-hydroxyoctanoylcarnitine (2),0.0010032289569765168
phenylalanylglycine,0.0010031153466665466
docosapentaenoate (n6 DPA; 22:5n6),0.0010030371472520242
5-hydroxylysine,0.0010030021099071396
1-(1-enyl-stearoyl)-GPE (P-18:0)*,0.0010029663509304846
1-lignoceroyl-GPC (24:0),0.0010027489105434754
cortolone glucuronide (1),0.0010026684273766453
pyridoxal,0.0010025687742740875
creatinine,0.001002463755627074
corticosterone,0.0010023638817900924
1-arachidoyl-2-arachidonoyl-GPC (20:0/20:4)*,0.0010022116938946711
pantothenate,0.0010021952067311706
N-acetyl-isoputreanine,0.0010021768348352825
N-acetylputrescine,0.0010021462885869434
N-lactoyl tyrosine,0.0010019642336260256
fructose,0.0010019345533358107
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,0.001001905518269296
octadecanedioylcarnitine (C18-DC)*,0.0010018307911770557
glycine conjugate of C10H12O2*,0.0010017504778059366
1-stearoyl-2-meadoyl-GPC (18:0/20:3n9)*,0.0010017436774877265
GlcNAc sulfate conjugate of C21H34O2 steroid**,0.0010016128074437725
3beta-hydroxy-5-cholestenoate,0.00100153468443732
N1-methyl-2-pyridone-5-carboxamide,0.0010014363897004471
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,0.0010013383496571399
delta-CEHC,0.0010012454034851509
valylglycine,0.0010009820673175633
N-acetylarginine,0.0010009531850671883
kynurenine,0.0010008761317737128
trans-2-hexenoylglycine,0.0010008482852771723
trigonelline (N'-methylnicotinate),0.001000794052527203
1-palmitoleoyl-GPE (16:1)*,0.0010006631060751792
palmitoylcarnitine (C16),0.0010006567047768891
palmitoleate (16:1n7),0.001000634733211936
delta-CEHC glucuronide,0.0010006016060687957
succinate,0.0010006000948869713
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,0.0010005952047705056
carnitine,0.001000527303465832
"bilirubin (E,Z or Z,E)*",0.0010004489427453847
N-acetyl-3-methylhistidine*,0.0010004011112937055
2-hydroxyphenylacetate,0.0010001415785500355
"N2-acetyl,N6-methyllysine",0.0010000516038029823
2-aminobutyrate,0.0010000052665535563
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),0.000999978489769993
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",0.0009997066468373035
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),0.0009995139456853302
4-hydroxyphenylacetylglutamine,0.000999495522850729
cyclo(pro-val),0.0009994933664452042
"androstenediol (3beta,17beta) monosulfate (2)",0.0009994858784543662
linoleoylcarnitine (C18:2)*,0.0009993445744639951
1-arachidonylglycerol (20:4),0.0009991426194457937
gamma-tocopherol/beta-tocopherol,0.000999058570569041
adipoylcarnitine (C6-DC),0.0009989576609782244
taurine,0.0009987589320785244
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.0009986042312065862
2-hydroxyoctanoate,0.0009985682345159364
2-pyrrolidinone,0.0009984308528064806
pyridoxate,0.000998423789304919
"bilirubin degradation product, C17H20N2O5 (1)**",0.0009983003053743768
N-acetyl-2-aminoadipate,0.00099819371611704
N-palmitoyltaurine,0.0009981455280943686
cystathionine,0.0009980080954461994
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",0.0009979938665656504
palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*,0.0009978984413762865
glutamate,0.000997872479612134
N-acetylleucine,0.000997801488025527
isovalerate (i5:0),0.0009975494942114083
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",0.0009971576566500297
3-hydroxymyristate,0.0009971233069777732
3-hydroxylaurate,0.0009969158335989766
glutamine conjugate of C6H10O2 (1)*,0.000996852941267766
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,0.0009967531523286397
sphingomyelin (d18:2/18:1)*,0.00099667331438551
glycocholate glucuronide (1),0.0009966683733303313
threonylphenylalanine,0.0009965333008425396
1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,0.0009959273933390074
11-ketoetiocholanolone glucuronide,0.0009958995892913945
m-tyramine sulfate,0.0009958226378753454
N-acetylkynurenine (2),0.0009957876769385303
glycochenodeoxycholate glucuronide (1),0.000995715904291655
1-stearoyl-2-oleoyl-GPE (18:0/18:1),0.0009956683614926836
N6-acetyllysine,0.0009956370341840757
pregnanediol-3-glucuronide,0.0009954355376142927
2-arachidonoyl-GPC (20:4)*,0.000995415713965079
homovanillate (HVA),0.000995335120431037
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,0.0009953228442011598
1-(1-enyl-oleoyl)-GPC (P-18:1)*,0.000995251292288708
docosapentaenoate (n3 DPA; 22:5n3),0.0009951764293598994
"3beta,7alpha-dihydroxy-5-cholestenoate",0.000995056400772068
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,0.0009947449954388061
glutamine,0.0009945868986526555
hydroxy-CMPF*,0.000994584504533136
N-stearoyl-sphinganine (d18:0/18:0)*,0.0009945344402678621
2-aminoadipate,0.00099427751388835
cortisone,0.0009940088631150202
gamma-CEHC glucuronide*,0.0009938829426160308
glu-gly-asn-val**,0.0009938653687599824
3-hydroxybutyroylglycine**,0.0009937333695745527
1-stearoyl-2-docosahexaenoyl-GPI (18:0/22:6)*,0.0009934028961829894
3-hydroxydodecanedioate*,0.000993387835303458
docosatrienoate (22:3n6)*,0.0009933138043736313
2-arachidonoylglycerol (20:4),0.0009932528307339506
fumarate,0.000993126298970403
1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*,0.0009927685394081438
phenylacetate,0.000992764888800366
spermidine,0.0009926724520155088
(14 or 15)-methylpalmitate (a17:0 or i17:0),0.000992332996430854
glycoursodeoxycholic acid sulfate (2),0.0009922003180625819
arachidoylcarnitine (C20)*,0.0009921218894238504
indoxyl glucuronide,0.0009920599988873324
aconitate [cis or trans],0.000992031286432668
N-palmitoylglycine,0.000992016293471421
dihomo-linoleoylcarnitine (C20:2)*,0.000991784793999573
1-palmitoleoyl-GPI (16:1)*,0.0009917037165477558
tetrahydrocortisol glucuronide,0.0009916704026293338
2-hydroxystearate,0.0009916092931530848
glycochenodeoxycholate 3-sulfate,0.0009915178581629204
glutamine conjugate of C7H12O2*,0.0009914291059449835
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),0.000991410275600677
phosphate,0.000991368166264445
10-nonadecenoate (19:1n9),0.0009913335109599092
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*,0.0009912561690137256
butyrylcarnitine (C4),0.000991220443996213
palmitoyl ethanolamide,0.0009911172591428742
sphingosine 1-phosphate,0.0009910894975441891
5alpha-pregnan-diol disulfate,0.0009910684258965024
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,0.0009905163521230194
N-linoleoylglycine,0.0009905160634703114
1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*,0.0009903860169355539
glycerophosphoinositol*,0.000990354689626946
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,0.0009903009492845374
glycerophosphoethanolamine,0.000990250316203633
alpha-ketoglutarate,0.0009900219239932892
lignoceroylcarnitine (C24)*,0.0009900180526510873
pelargonate (9:0),0.0009899195202002194
betaine,0.0009899153771848804
5-methyluridine (ribothymidine),0.000989602987036497
glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,0.000989588571380666
1-stearoyl-2-oleoyl-GPC (18:0/18:1),0.0009894612755364206
1-eicosenoyl-GPC (20:1)*,0.0009894462995547445
glycine conjugate of C10H14O2 (1)*,0.0009894174003247985
1-palmityl-2-stearoyl-GPC (O-16:0/18:0)*,0.0009893043673202442
ursocholate,0.0009892122191880954
21-hydroxypregnenolone disulfate,0.0009887355007509818
estrone 3-sulfate,0.0009884532153820898
glycine,0.0009884329247946719
3-(3-amino-3-carboxypropyl)uridine*,0.000988307275968819
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,0.0009881381085023366
alpha-hydroxyisovalerate,0.0009881039625849327
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),0.000988085403913763
5-methylthioadenosine (MTA),0.0009878379776042596
"1,5-anhydroglucitol (1,5-AG)",0.0009878042901352742
dihomo-linolenate (20:3n3 or n6),0.0009875597843119934
N-acetyl-beta-alanine,0.0009875476099595426
cysteine sulfinic acid,0.000987446462654731
N-acetylasparagine,0.0009873120014314977
3-hydroxyoctanoate,0.0009872942408001677
urate,0.0009871983232032431
pipecolate,0.0009871659431612294
"ceramide (d18:2/24:1, d18:1/24:2)*",0.0009871562138670114
N-acetylglutamate,0.000987133597078358
N-stearoyl-sphingadienine (d18:2/18:0)*,0.0009870643374079995
glucuronate,0.0009869392658875629
N-acetyltryptophan,0.0009869208770121036
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.0009867526773811716
gamma-glutamylglutamate,0.0009863815888556298
glutarylcarnitine (C5-DC),0.0009863604662692298
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*",0.0009862179397497424
1-nonadecanoyl-GPC (19:0),0.0009861274895746994
taurolithocholate 3-sulfate,0.0009860993883845932
