enzyme_id,sparse_score
ec:2.8.3.22,0.0015291264984755176
ec:3.4.13.18,0.0015273158527453151
ec:2.6.1.7,0.0015271695203190358
ec:2.6.1.63,0.0015271695203190358
ec:1.2.1.39,0.0015249781389356102
ec:3.5.3.24,0.0015240892130549636
ec:4.2.1.2,0.0015234390577619742
ec:1.2.3.8,0.0015227237538514746
ec:1.14.15.20,0.0015219901793846167
ec:1.14.14.18,0.0015219901793846167
ec:1.13.99.1,0.0015206003637463787
ec:4.3.1.3,0.001518513359699773
ec:3.1.3.74,0.001517354536095495
ec:1.3.1.6,0.0015171943133947565
ec:1.14.14.54,0.0015165703622660493
ec:4.1.2.5,0.0015161178752695036
ec:2.6.1.2,0.0015127562608749652
ec:1.4.1.14,0.0015127562608749652
ec:1.4.7.1,0.0015127562608749652
ec:1.4.1.13,0.0015127562608749652
ec:1.4.1.4,0.0015127562608749652
ec:1.4.1.3,0.0015127562608749652
ec:1.4.3.11,0.0015127562608749652
ec:1.4.1.2,0.0015127562608749652
ec:2.4.2.10,0.0015126180429532066
ec:2.7.1.213,0.0015100480708333584
ec:2.7.1.48,0.0015100480708333584
ec:1.5.3.10,0.001509463296739219
ec:1.5.8.4,0.001509463296739219
ec:1.5.7.3,0.001509463296739219
ec:2.3.1.297,0.001508781717122988
ec:2.3.1.291,0.001508781717122988
ec:2.3.1.24,0.001508781717122988
ec:3.5.1.23,0.001508781717122988
ec:2.3.1.298,0.001508781717122988
ec:2.3.1.299,0.001508781717122988
ec:3.5.2.10,0.0015073083918625825
ec:2.6.1.44,0.0015055729086686862
ec:2.6.1.4,0.0015055729086686862
ec:3.5.4.2,0.0015051919145917523
ec:2.6.1.64,0.001504517900329657
ec:1.8.4.4,0.0015034256789762627
ec:1.3.1.22,0.001503039800691193
ec:2.8.2.34,0.0015021862530165647
ec:1.2.1.29,0.0015017413765983038
ec:5.2.1.1,0.001501518757492576
ec:1.5.3.17,0.001501166267550951
ec:1.5.3.16,0.001501166267550951
ec:6.3.1.9,0.001501166267550951
ec:2.5.1.22,0.001501166267550951
ec:3.1.1.25,0.0014999256657633683
ec:3.5.3.17,0.0014994301512189629
ec:2.7.1.30,0.0014993494713364296
ec:3.1.3.21,0.0014993494713364296
ec:2.7.1.142,0.0014993494713364296
ec:1.1.1.172,0.001497360726445289
ec:3.2.2.10,0.001496274978605852
ec:3.5.4.1,0.001496274978605852
ec:2.4.1.82,0.0014942569478476773
ec:3.5.2.1,0.00149381797641121
ec:2.6.1.55,0.0014907887853571479
ec:4.2.1.22,0.0014905838295120575
ec:3.5.1.31,0.001486724012966521
ec:2.8.3.5,0.001486224143982587
ec:3.2.2.2,0.0014860004524184592
ec:1.4.3.3,0.0014856587904303194
ec:1.1.1.39,0.0014833190932186334
ec:1.1.1.38,0.0014833190932186334
ec:2.6.1.45,0.0014832972757968434
ec:1.1.3.6,0.001482963612022555
ec:2.3.1.188,0.0014823875209651009
ec:3.5.1.21,0.0014822571462029673
ec:4.1.3.1,0.0014812908805662505
ec:1.2.3.13,0.0014811663526405757
ec:3.7.1.2,0.0014805367032690437
ec:4.1.2.27,0.0014793800439633444
ec:3.5.3.7,0.0014786776935413522
ec:3.1.6.1,0.0014785499611616626
ec:1.4.3.19,0.0014757941759331065
ec:2.1.1.20,0.0014757941759331065
ec:1.5.8.3,0.0014757941759331065
ec:1.5.3.1,0.0014757941759331065
ec:2.3.1.226,0.0014746123526185612
ec:1.1.1.42,0.0014732410594997998
ec:1.14.14.57,0.0014716589378571184
ec:2.7.1.1,0.001470243428441427
ec:2.3.2.2,0.0014700792389367267
ec:2.7.9.2,0.0014700489969019623
ec:3.1.4.38,0.0014687025383018151
ec:1.3.5.2,0.001468350952843178
ec:1.3.1.15,0.001468350952843178
ec:1.3.1.14,0.001468350952843178
ec:2.1.1.2,0.0014677896500825782
ec:1.1.3.17,0.0014652597530196928
ec:2.5.1.6,0.0014638732452049539
ec:2.4.2.15,0.001462328297813081
ec:2.6.1.73,0.0014616395727812448
ec:2.1.1.103,0.0014608601216451148
ec:6.3.1.17,0.0014599076170710018
ec:3.1.4.13,0.0014562920044716432
ec:3.1.1.93,0.001456201840438921
ec:2.5.1.49,0.0014547286379297782
ec:3.5.4.15,0.0014539140347083776
ec:3.5.1.6,0.0014535301850494384
ec:2.7.1.73,0.0014501897872415625
ec:2.7.1.32,0.001447633317760607
ec:1.14.11.10,0.0014418842559132067
ec:4.2.1.122,0.0014418188359508004
ec:4.2.1.20,0.0014418188359508004
ec:4.2.1.3,0.0014413522067166773
ec:1.14.11.3,0.001437294999680186
ec:2.6.1.21,0.0014327244468632394
ec:1.2.4.4,0.001428468990076955
ec:1.2.1.25,0.001428468990076955
ec:1.4.1.9,0.001428468990076955
ec:2.6.1.6,0.001428468990076955
ec:1.2.7.7,0.001428468990076955
ec:3.4.13.5,0.0014261706148166369
ec:1.13.11.52,0.0014259613368349825
ec:2.1.1.1,0.001424894996616232
ec:3.4.13.4,0.0014209517544362337
ec:2.4.1.99,0.0014202725523181426
ec:3.2.2.7,0.0014150291481457996
ec:2.2.1.6,0.0014114092198704695
ec:2.3.1.54,0.0014114092198704695
ec:5.3.2.1,0.0014109141317251868
ec:1.1.1.237,0.0014109141317251868
ec:1.1.1.110,0.0014109141317251868
ec:2.6.1.58,0.0014109141317251868
ec:1.4.1.20,0.0014109141317251868
ec:2.6.1.28,0.001409950921948851
ec:4.4.1.11,0.001405233468173461
ec:1.11.1.8,0.001404520244573834
ec:1.1.1.85,0.001404353128420608
ec:3.5.4.4,0.0013958376859725065
ec:2.6.1.103,0.0013845429029746032
ec:1.1.1.115,0.0008114497673053034
ec:4.2.1.11,0.000810136173740586
ec:3.1.2.5,0.0008078146760187381
ec:2.8.3.13,0.0008078146760187381
ec:2.4.1.121,0.0008074742673855961
ec:2.1.1.278,0.0008074742673855961
ec:1.2.3.7,0.0008074742673855961
ec:4.1.1.115,0.0008074742673855961
ec:6.3.2.20,0.0008074742673855961
