2026-04-16 10:38:39,470 - INFO - Device: cuda
2026-04-16 10:38:40,296 - INFO - Loaded Excel file: starting_template.csv
2026-04-16 10:38:40,296 - INFO - Raw data shape: (48, 1602)
2026-04-16 10:38:40,297 - INFO - Filtered samples: 36 (High: 26, Low: 10)
2026-04-16 10:38:40,298 - INFO - Groups found: Counter({'HZ_HL': 24, 'PHN': 12})
2026-04-16 10:38:40,299 - INFO - Excluding pain score column from features: 'Pain Score'
2026-04-16 10:38:40,467 - INFO - Identified 1592 metabolite columns
2026-04-16 10:38:40,670 - INFO - Excluded 268 xenobiotic metabolites, 1324 endogenous remaining
2026-04-16 10:38:40,670 - INFO - Excluded xenobiotics (first 10): ['gluconate', 'phytanate', 'salicylate', 'cotinine', 'caffeine', 'methyl indole-3-acetate', 'fluoxetine', '4-acetamidophenol', 'naproxen', 'ibuprofen']
2026-04-16 10:38:40,671 - INFO - Excluded 305 unidentified X- metabolites, 1019 identified endogenous remaining
2026-04-16 10:42:46,546 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:48,506 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:50,826 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:53,412 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:55,786 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:57,563 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:59,584 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:01,552 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:03,506 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:06,507 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:08,201 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:09,968 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:11,691 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:14,482 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:16,248 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:18,293 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:20,864 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:23,063 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:25,071 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:27,192 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:29,129 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
