metabolite,mean_abs_ig
beta-citrylglutamate,2.475494e-09
GlcNAc sulfate conjugate of C21H34O2 steroid**,2.4742381e-09
2'-deoxyuridine,2.4735953e-09
glucuronide of C12H22O4 (2)*,2.4717501e-09
pregnenetriol disulfate*,2.4702231e-09
fumarate,2.4698519e-09
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]*,2.4694893e-09
2-hydroxybehenate,2.468663e-09
N-acetylglucosamine conjugate of C24H40O4 bile acid**,2.4672968e-09
pregnanolone/allopregnanolone sulfate,2.4667937e-09
2-linoleoyl-GPE (18:2)*,2.4662479e-09
S-methylcysteine sulfoxide,2.4656186e-09
gamma-glutamylisoleucine*,2.4653963e-09
ursodeoxycholate,2.463485e-09
3beta-hydroxy-5-cholestenoate,2.458816e-09
2-oleoylglycerol (18:1),2.4572737e-09
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,2.4564641e-09
N-palmitoylserine,2.4562026e-09
trans-urocanate,2.4554607e-09
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,2.4538556e-09
uridine,2.4526738e-09
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,2.4493856e-09
myristoyl-linoleoyl-glycerol (14:0/18:2) [2]*,2.4445155e-09
myristoyl-linoleoyl-glycerol (14:0/18:2) [1]*,2.4433775e-09
behenoyl dihydrosphingomyelin (d18:0/22:0)*,2.4432047e-09
8-methoxykynurenate,2.4427347e-09
glucuronide of C10H18O2 (1)*,2.4398488e-09
1-stearyl-2-linoleoyl-GPC (O-18:0/18:2)*,2.4392541e-09
2-hydroxysebacate,2.4389837e-09
margaroylcarnitine (C17)*,2.438508e-09
cysteine s-sulfate,2.42981e-09
sphingosine 1-phosphate,2.4283273e-09
"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",2.4247913e-09
eicosanedioate (C20-DC),2.4236537e-09
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,2.4199918e-09
"5,6-dihydrothymine",2.4186655e-09
leucylglycine,2.4168465e-09
N-acetyl-1-methylhistidine*,2.4163767e-09
aconitate [cis or trans],2.4136488e-09
spermidine,2.4129063e-09
"1,2-dipalmitoyl-GPI (16:0/16:0)*",2.412662e-09
2'-O-methylcytidine,2.4091922e-09
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,2.4077207e-09
2-hydroxy-3-methylvalerate,2.4070403e-09
5-hydroxydecanoate,2.4044664e-09
palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*,2.4037923e-09
dopamine 3-O-sulfate,2.4026703e-09
1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)*,2.4026372e-09
tetrahydrocortisone glucuronide (5),2.4009195e-09
"1,2-dilinoleoyl-GPC (18:2/18:2)",2.3980276e-09
17alpha-hydroxypregnanolone glucuronide,2.3968363e-09
behenate (22:0)*,2.3965034e-09
1-oleoyl-GPI (18:1),2.3916236e-09
taurodeoxycholate,2.3892597e-09
glucuronide of C10H18O2 (7)*,2.3888775e-09
lignoceroylcarnitine (C24)*,2.3887845e-09
"N2-acetyl,N6,N6-dimethyllysine",2.3886848e-09
guanine,2.386272e-09
1-oleoyl-GPG (18:1)*,2.3841884e-09
tyrosine,2.3826539e-09
1-stearoyl-GPI (18:0),2.3817668e-09
ascorbic acid 2-sulfate,2.3789493e-09
1-linoleoyl-GPA (18:2)*,2.378934e-09
N-acetylasparagine,2.3785307e-09
m-tyramine sulfate,2.3776385e-09
fibrinopeptide A (8-16)**,2.3760336e-09
2-hydroxynervonate*,2.3728388e-09
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,2.3719113e-09
"2,3-dihydroxy-2-methylbutyrate",2.3694344e-09
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),2.3690039e-09
succinate,2.3634812e-09
2-hydroxylaurate,2.3627735e-09
cholesterol sulfate,2.360199e-09
N6-methyllysine,2.359557e-09
1-methyl-5-imidazolelactate,2.3581792e-09
1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*,2.3578817e-09
epiandrosterone sulfate,2.3573965e-09
N-linoleoylglycine,2.3568831e-09
N-acetylcarnosine,2.3567812e-09
alpha-CEHC sulfate,2.3562006e-09
hexadecanedioate (C16-DC),2.3553166e-09
dopamine 4-sulfate,2.3519031e-09
glu-gly-asn-val**,2.3512e-09
2-docosahexaenoyl-GPE (22:6)*,2.3478886e-09
gamma-CEHC glucuronide*,2.34744e-09
1-myristoylglycerol (14:0),2.3472093e-09
1-(1-enyl-oleoyl)-GPC (P-18:1)*,2.3461864e-09
cholic acid glucuronide,2.343094e-09
"5alpha-androstan-3alpha,17alpha-diol monosulfate",2.3425664e-09
1-stearyl-2-docosapentaenoyl-GPC (O-18:0/22:5n3)*,2.3416407e-09
gamma-glutamylglutamine,2.3415323e-09
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",2.341441e-09
"cis-3,4-methyleneheptanoate",2.332214e-09
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",2.3278774e-09
1-linoleoyl-GPI (18:2)*,2.3247284e-09
butyrylcarnitine (C4),2.3244688e-09
1-stearoyl-2-oleoyl-GPE (18:0/18:1),2.3243087e-09
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,2.3174653e-09
behenoyl sphingomyelin (d18:1/22:0)*,2.3156004e-09
3-methoxytyrosine,2.3132678e-09
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,2.3111584e-09
N6-carboxymethyllysine,2.3107747e-09
"sphingomyelin (d18:1/19:0, d19:1/18:0)*",2.3107165e-09
phosphate,2.31058e-09
alpha-ketobutyrate,2.3104514e-09
etiocholanolone glucuronide,2.3095303e-09
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),2.3093494e-09
ascorbic acid 3-sulfate*,2.308732e-09
alpha-CEHC,2.3069338e-09
oleamide,2.3057245e-09
valylglycine,2.303857e-09
11-ketoetiocholanolone glucuronide,2.3030204e-09
cortolone glucuronide (1),2.3020466e-09
2-linoleoyl-GPC (18:2)*,2.2993951e-09
1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)*,2.2991347e-09
glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,2.299125e-09
"2R,3R-dihydroxybutyrate",2.2970874e-09
N-acetyltyrosine,2.2944209e-09
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",2.2936262e-09
I-urobilinogen,2.2934519e-09
"cis-3,4-methyleneheptanoylglycine",2.2933742e-09
2-arachidonoyl-GPI (20:4)*,2.2929845e-09
glycerophosphoserine*,2.2914952e-09
N-acetylglutamate,2.2906665e-09
adrenoylcarnitine (C22:4)*,2.2905609e-09
2-hydroxy-4-(methylthio)butanoic acid,2.2878401e-09
N-acetylisoleucine,2.2866646e-09
isoursodeoxycholate sulfate (1),2.2846807e-09
octadecenedioylcarnitine (C18:1-DC)*,2.283818e-09
glycocholate glucuronide (1),2.2818418e-09
"sphingomyelin (d18:1/18:1, d18:2/18:0)",2.2808466e-09
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**,2.28083e-09
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),2.2797566e-09
creatine,2.2783462e-09
succinylcarnitine (C4-DC),2.2772382e-09
1-oleyl-GPC (O-18:1)*,2.2771642e-09
androsterone glucuronide,2.277023e-09
palmitoleoyl-arachidonoyl-glycerol (16:1/20:4) [2]*,2.276945e-09
1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,2.2768252e-09
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",2.2756375e-09
"sphingomyelin (d18:0/20:0, d16:0/22:0)*",2.2709044e-09
7-methylguanine,2.2690785e-09
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),2.268076e-09
1-stearoyl-2-adrenoyl-GPC (18:0/22:4)*,2.2664923e-09
N-palmitoyl-sphingosine (d18:1/16:0),2.2661641e-09
docosatrienoate (22:3n3),2.265772e-09
hydroxyasparagine**,2.2635744e-09
1-stearoyl-2-oleoyl-GPC (18:0/18:1),2.2630995e-09
N-acetylphenylalanine,2.2595465e-09
trans-2-hexenoylglycine,2.2586921e-09
1-palmitoyl-GPE (16:0),2.2573508e-09
N-palmitoyltaurine,2.2554945e-09
2-linoleoylglycerol (18:2),2.2533397e-09
hydroxy-undecanedioate (OH-C11:0-DC)*,2.2528495e-09
glycine conjugate of C10H12O2*,2.252831e-09
vanillic alcohol sulfate,2.2486941e-09
choline,2.2468092e-09
1-methylhistamine,2.2458209e-09
palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*,2.245181e-09
taurodeoxycholic acid 3-sulfate,2.243405e-09
1-pentadecanoyl-GPC (15:0)*,2.2411895e-09
glutamate,2.240532e-09
1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*,2.2403195e-09
vanillactate,2.2388917e-09
N-acetylleucine,2.2386486e-09
glycodeoxycholate,2.2385134e-09
1-eicosenoyl-GPC (20:1)*,2.2359652e-09
branched chain 14:0 dicarboxylic acid**,2.2344326e-09
1-eicosapentaenoylglycerol (20:5)*,2.2342315e-09
taurochenodeoxycholate,2.2326743e-09
3-hydroxyhexanoylcarnitine (1),2.231082e-09
N-lactoyl valine,2.2301625e-09
glycohyocholate,2.229938e-09
gamma-glutamylglutamate,2.2298654e-09
1-linoleoyl-GPE (18:2)*,2.229475e-09
4-methoxyphenol sulfate,2.2288686e-09
dimethylglycine,2.2285107e-09
indolebutyrate,2.2273425e-09
"bilirubin degradation product, C17H18N2O4 (2)**",2.227296e-09
1-behenoyl-GPC (22:0),2.2252022e-09
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",2.2239954e-09
methylsuccinoylcarnitine,2.223207e-09
4-hydroxyphenylacetylglutamine,2.22201e-09
N-formylphenylalanine,2.2207234e-09
"bilirubin degradation product, C17H18N2O4 (1)**",2.2198794e-09
1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,2.215418e-09
10-undecenoate (11:1n1),2.2144242e-09
1-ribosyl-imidazoleacetate*,2.2093674e-09
oleoyl-linoleoyl-glycerol (18:1/18:2) [1],2.205961e-09
"9,10-DiHOME",2.2025444e-09
hyocholate (gamma-muricholate),2.2022015e-09
N-acetylproline,2.1995283e-09
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,2.1982762e-09
5-hydroxylysine,2.1970405e-09
"N2,N5-diacetylornithine",2.195656e-09
3-hydroxybutyrate (BHBA),2.1954147e-09
1-palmitoyl-2-palmitoleoyl-GPE (16:0/16:1)*,2.19463e-09
11beta-hydroxyetiocholanolone glucuronide*,2.1919668e-09
4-imidazoleacetate,2.1914124e-09
S-methylmethionine,2.1901312e-09
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,2.1898925e-09
1-lignoceroyl-GPC (24:0),2.1890625e-09
1-oleoyl-GPC (18:1),2.1888953e-09
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",2.1869115e-09
arabonate/xylonate,2.1841629e-09
N-succinyl-phenylalanine,2.1838753e-09
1-palmitoyl-GPC (16:0),2.1833768e-09
homoarginine,2.181744e-09
isovalerylcarnitine (C5),2.1816722e-09
N-acetylarginine,2.1812143e-09
N-lactoyl leucine,2.1809403e-09
1-eicosapentaenoyl-GPC (20:5)*,2.1776347e-09
gamma-glutamylalanine,2.1746742e-09
fibrinopeptide B (1-9)**,2.1730464e-09
undecanoate (11:0),2.172842e-09
1-nonadecenoyl-GPC (19:1)*,2.1712294e-09
2-hydroxyoleate,2.170802e-09
prolylglycine,2.1703226e-09
1-myristoyl-GPC (14:0),2.169057e-09
hypotaurine,2.166769e-09
1-oleoyl-GPA (18:1),2.1660094e-09
leukotriene B5,2.1653959e-09
cholesterol,2.1633788e-09
fructose,2.1625448e-09
9-hydroxystearate,2.1605726e-09
cytidine,2.1601174e-09
malate,2.1591042e-09
2-hydroxyheptanoate*,2.1566702e-09
1-stearoyl-GPE (18:0),2.1562248e-09
3-indoxyl sulfate,2.1551732e-09
glycochenodeoxycholate,2.154709e-09
alpha-CMBHC glucuronide,2.1529496e-09
palmitoloelycholine,2.1526547e-09
arachidate (20:0),2.1496434e-09
dodecanedioate (C12-DC),2.1481739e-09
carotene diol (3),2.1422741e-09
3-hydroxyadipate,2.1419322e-09
"bilirubin degradation product, C16H18N2O5 (4)**",2.1400777e-09
1-(1-enyl-stearoyl)-GPC (P-18:0)*,2.1390183e-09
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",2.1375517e-09
1-meadoyl-GPC (20:3n9)*,2.1357411e-09
gamma-glutamyl-epsilon-lysine,2.132957e-09
dihomo-linolenoyl-choline,2.1316369e-09
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),2.1280542e-09
1-stearoyl-2-adrenoyl-GPE (18:0/22:4)*,2.1279802e-09
"N1,N12-diacetylspermine",2.1278257e-09
fibrinopeptide A (3-15)**,2.126979e-09
"glycosyl ceramide (d18:1/23:1, d17:1/24:1)*",2.1262219e-09
thyroxine,2.1257873e-09
isoleucine,2.1232696e-09
2-palmitoleoyl-GPC (16:1)*,2.1223638e-09
