enzyme_id,enzyme_name,reaction_id,equation
ec:2.3.1.317,3-dehydrocarnitine:acetyl-CoA trimethylamine transferase,R13359,
ec:2.8.3.9,butyrate---acetoacetate CoA-transferase,R01365,
ec:4.1.1.4,acetoacetate decarboxylase,R01366,
ec:1.1.3.21,glycerol-3-phosphate oxidase,R00846,
ec:2.4.1.137,sn-glycerol-3-phosphate 2-alpha-galactosyltransferase,R00853,
ec:2.4.1.96,sn-glycerol-3-phosphate 1-galactosyltransferase,R00854,
ec:2.7.8.5,CDP-diacylglycerol---glycerol-3-phosphate 1-phosphatidyltransferase,R01801,
ec:3.6.1.16,CDP-glycerol diphosphatase,R00855,
ec:1.1.1.8,glycerol-3-phosphate dehydrogenase (NAD+),R00842,
ec:2.7.7.39,glycerol-3-phosphate cytidylyltransferase,R00856,
ec:1.1.1.177,glycerol-3-phosphate 1-dehydrogenase (NADP+),R00845,
ec:2.5.1.111,4-hydroxyphenylpyruvate 3-dimethylallyltransferase,R06757,
ec:1.3.1.13,prephenate dehydrogenase (NADP+),R01730,
ec:4.1.1.80,4-hydroxyphenylpyruvate decarboxylase,R03341,
ec:1.3.1.12,prephenate dehydrogenase,R01728,
ec:1.1.1.279,(R)-3-hydroxyacid-ester dehydrogenase,R04105,
ec:3.5.1.62,acetylputrescine deacetylase,R01156,
ec:2.8.2.18,cortisol sulfotransferase,R02839,
ec:2.3.1.27,cortisol O-acetyltransferase,R02837,
ec:1.1.1.442,20beta-hydroxysteroid dehydrogenase,R13605,
ec:1.2.1.26,"2,5-dioxovalerate dehydrogenase",R00264,"2,5-Dioxopentanoate + NADP+ + H2O <=> 2-Oxoglutarate + NADPH + H+"
ec:2.6.1.36,L-lysine 6-transaminase,R00457,
ec:2.2.1.5,2-hydroxy-3-oxoadipate synthase,R00474,
ec:4.1.1.71,2-oxoglutarate decarboxylase,R00272,
ec:2.3.3.14,homocitrate synthase,R00271,
ec:2.4.1.23,sphingosine beta-galactosyltransferase,R01928,
ec:2.7.8.10,sphingosine cholinephosphotransferase,R01929,
