enzyme_id,metabolite,p_value,q_value,log2_fc,significant_fdr
ec:1.3.1.3,cortisol,0.6334166368656373,0.9729850399805074,,False
ec:1.3.1.3,cortisone,0.7639596734596978,0.9981217798900246,0.44066083807067113,False
ec:1.3.1.3,corticosterone,0.7374250296197724,0.9939631020933176,0.0,False
ec:1.3.1.3,4-cholesten-3-one,0.8459784709177165,0.9999454876780615,4.27805190708836,False
ec:2.4.2.4,guanine,0.6922098093806455,0.9813784769748872,-2.110883084423643,False
ec:2.4.2.4,uracil,0.6587817369505,0.9729850399805074,,False
ec:2.4.2.4,hypoxanthine,0.08041743822049663,0.9423400569916458,,False
ec:2.4.2.4,2'-deoxyuridine,0.3314185132368468,0.9729850399805074,,False
ec:1.17.1.4,adenine,0.49100447494643173,0.9729850399805074,-2.8420655952070564,False
ec:1.17.1.4,urate,0.49100447494643173,0.9729850399805074,,False
ec:1.17.1.4,hypoxanthine,0.08041743822049663,0.9423400569916458,,False
ec:1.17.1.4,xanthine,0.3868714529706392,0.9729850399805074,,False
ec:3.2.1.22,glycerol,0.1160256465804349,0.9423400569916458,,False
ec:3.2.1.22,sucrose,0.42320330980228893,0.9729850399805074,0.0,False
ec:3.2.1.22,mannose,0.40654650204566667,0.9729850399805074,,False
ec:3.2.1.22,myo-inositol,0.6085675623751094,0.9729850399805074,-0.3721908427421094,False
ec:3.2.2.8,cytidine,0.12309200453276387,0.9423400569916458,,False
ec:3.2.2.8,cytosine,1.0,1.0,-1.5482309358895365,False
ec:3.2.2.8,uracil,0.6587817369505,0.9729850399805074,,False
ec:3.2.2.8,uridine,0.20991137719550346,0.9423400569916458,-1.735602315307165,False
ec:1.2.1.5,1-methyl-4-imidazoleacetate,0.40654650204566667,0.9729850399805074,-2.314224501381084,False
ec:1.2.1.5,beta-alanine,0.9859106622290967,1.0,-1.3887251682793467,False
ec:1.2.1.5,4-hydroxyphenylacetate,0.9295505930045466,0.9999454876780615,-0.06769335042437528,False
ec:1.2.1.5,phenylacetate,0.8590723058423646,0.9999454876780615,0.7230882130211526,False
ec:1.14.99.64,carotene diol (3),0.929623013872139,0.9999454876780615,0.19919004834310308,False
ec:1.14.99.64,beta-cryptoxanthin,0.5600573181736357,0.9729850399805074,,False
ec:1.14.99.64,carotene diol (2),0.5135026227093413,0.9729850399805074,,False
ec:1.14.99.64,carotene diol (1),0.4690469217779104,0.9729850399805074,,False
ec:1.14.15.24,carotene diol (3),0.929623013872139,0.9999454876780615,0.19919004834310308,False
ec:1.14.15.24,beta-cryptoxanthin,0.5600573181736357,0.9729850399805074,,False
ec:1.14.15.24,carotene diol (2),0.5135026227093413,0.9729850399805074,,False
ec:1.14.15.24,carotene diol (1),0.4690469217779104,0.9729850399805074,,False
