metabolite,median_high,median_low,log2_fc,wilcoxon_stat,p_value,q_value,significant_fdr
1-docosahexaenoyl-GPE (22:6)*,-0.0847063660621643,0.11925521492958069,,94.0,0.20991137719550346,0.9423400569916458,False
1-docosahexaenoylglycerol (22:6),-0.09914030134677887,0.1052185595035553,,94.0,0.20991137719550346,0.9423400569916458,False
uridine,-0.07246371358633041,-0.24131757020950317,-1.735602315307165,166.0,0.20991137719550346,0.9423400569916458,False
citrate,-0.016914870589971542,0.10681958496570587,,94.0,0.20991137719550346,0.9423400569916458,False
tiglylcarnitine (C5:1-DC),-0.08814562857151031,0.10639598965644836,,94.0,0.20991137719550346,0.9423400569916458,False
fumarate,-0.036282218992710114,0.05203952267765999,,94.0,0.20991137719550346,0.9423400569916458,False
pentose acid*,-0.04064079746603966,0.6440438628196716,,94.0,0.20991137719550346,0.9423400569916458,False
N-acetylkynurenine (2),-0.08119189739227295,-0.4135720133781433,-2.3487308976524157,165.5,0.21390968234166086,0.9423400569916458,False
11-ketoetiocholanolone glucuronide,-0.7876150608062744,0.05252450332045555,,95.0,0.21440096369741857,0.9423400569916458,False
1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,-0.2568329870700836,-0.06023334711790085,2.092196177160372,95.5,0.2158590784137654,0.9423400569916458,False
1-oleoyl-GPA (18:1),0.06102132424712181,-0.1412992775440216,,165.5,0.21610708899319553,0.9423400569916458,False
heneicosapentaenoate (21:5n3),-0.9979419708251953,-0.9979419708251953,0.0,103.0,0.21844491070716365,0.9423400569916458,False
nisinate (24:6n3),-0.6832888126373291,0.01702485978603363,,96.0,0.21934889075794384,0.9423400569916458,False
vanillic alcohol sulfate,-1.2777976989746094,-0.04793292284011841,4.736498724564235,96.0,0.21934889075794384,0.9423400569916458,False
(R)-3-hydroxybutyrylcarnitine,-0.38310569524765015,-0.014856596477329731,4.688566932944979,95.0,0.22052589624275987,0.9423400569916458,False
1-ribosyl-imidazoleacetate*,-0.09137659519910812,0.08138947933912277,,95.0,0.22244143695611818,0.9423400569916458,False
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.021047815680503845,-0.07799352705478668,,165.0,0.22303759590429784,0.9423400569916458,False
mannitol/sorbitol,-0.004191210493445396,0.2697313129901886,,95.0,0.22303759590429784,0.9423400569916458,False
1-oleoyl-GPI (18:1),-0.05490190535783768,0.06538745015859604,,95.0,0.22303759590429784,0.9423400569916458,False
1-stearyl-2-docosapentaenoyl-GPC (O-18:0/22:5n3)*,0.006991270929574966,-0.07781104743480682,,165.0,0.22303759590429784,0.9423400569916458,False
N-acetylneuraminate,0.05629947781562805,-0.02241438999772072,,165.0,0.22303759590429784,0.9423400569916458,False
3beta-hydroxy-5-cholestenoate,-0.00894154142588377,-0.3258205056190491,-5.187410050660346,165.0,0.22303759590429784,0.9423400569916458,False
