metabolite,p_value,q_value,log2_fc,median_high,median_low
(R)-3-hydroxybutyrylcarnitine,0.2205258962427598,0.9423400569916458,4.688566932944979,-0.3831056952476501,-0.0148565964773297
1-ribosyl-imidazoleacetate*,0.2224414369561181,0.9423400569916458,,-0.0913765951991081,0.0813894793391227
taurodeoxycholate,0.2230375959042978,0.9423400569916458,,-0.0675401762127876,0.8195202350616455
N-acetyltryptophan,0.2230375959042978,0.9423400569916458,,0.0802820697426796,-0.1080220639705658
"bilirubin degradation product, C17H18N2O4 (1)**",0.2230375959042978,0.9423400569916458,,0.2361478507518768,-0.0614106729626655
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,0.2230375959042978,0.9423400569916458,,-0.0047655077651143,0.2747485339641571
sphingomyelin (d18:2/18:1)*,0.2230375959042978,0.9423400569916458,,0.0590263083577156,-0.0889967381954193
N-acetylneuraminate,0.2230375959042978,0.9423400569916458,,0.056299477815628,-0.0224143899977207
1-stearyl-2-docosapentaenoyl-GPC (O-18:0/22:5n3)*,0.2230375959042978,0.9423400569916458,,0.0069912709295749,-0.0778110474348068
3beta-hydroxy-5-cholestenoate,0.2230375959042978,0.9423400569916458,-5.187410050660346,-0.0089415414258837,-0.3258205056190491
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.2230375959042978,0.9423400569916458,,0.0210478156805038,-0.0779935270547866
1-oleoyl-GPI (18:1),0.2230375959042978,0.9423400569916458,,-0.0549019053578376,0.065387450158596
mannitol/sorbitol,0.2230375959042978,0.9423400569916458,,-0.0041912104934453,0.2697313129901886
"5,6-dihydrouracil",0.2250029531147244,0.9423400569916458,3.6096061149447127,-0.4197273552417755,-0.0343848839402198
4-methylhexanoylglutamine,0.2270362925936792,0.9423400569916458,1.127816495178535,-0.6721004247665405,-0.3075583875179291
isoleucylglycine,0.2334193838388846,0.9423400569916458,-4.181394799248085,-0.0328953526914119,-0.5968425869941711
N-acetyl-3-methylhistidine*,0.2337728152561221,0.9423400569916458,0.2433113034206236,-0.5948119759559631,-0.5024995803833008
sarcosine,0.2367108060154611,0.9423400569916458,-2.5928112692266647,0.034571785479784,0.208562284708023
valine,0.2367409760450062,0.9423400569916458,-5.28123384237997,0.0046038972213864,0.1790339648723602
nonadecanoate (19:0),0.2367409760450062,0.9423400569916458,,-0.0208641923964023,0.1035319715738296
stearate (18:0),0.2367409760450062,0.9423400569916458,,-0.008314486593008,0.0764826387166976
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),0.2367409760450062,0.9423400569916458,,-0.050758883357048,0.2178068161010742
adenosine,0.2367409760450062,0.9423400569916458,,0.0731300413608551,-0.1309068202972412
2-O-methylascorbic acid,0.2367409760450062,0.9423400569916458,-2.353560495353626,0.0721350237727165,0.3686705827713012
